parent_strain	strain	parent_country	country	date	dist	desc_count	total_proportion	country_proportion
NODE_0002577	NODE_0002612	Italy	USA	2020.1697387583276	0.002051321644330528	398.0	0.051249034251867116	0.05108055009823183
NODE_0001580	NODE_0001608	USA	India	2020.2441414810996	0.07175522937882306	332.0	0.04275045068246201	0.05555555555555555
NODE_0001580	NODE_0001708	Netherlands	Austria	2020.1868706103253	0.022695138367453183	332.0	0.04275045068246201	0.09302325581395349
NODE_0001713	Ghana/2853_S7/2020	France	Ghana	2020.2445355191257	0.03305906994569341	2.0	0.0002575328354365182	0.1
NODE_0002629	Brazil/CV49/2020	France	Brazil	2020.2254098360656	0.030316964932353585	2.0	0.0002575328354365182	0.027777777777777776
NODE_0001733	NODE_0001734	Italy	Vietnam	2020.181693989071	0.023987612153632654	8.0	0.0010301313417460727	0.14285714285714285
NODE_0003066	NODE_0003067	Switzerland	USA	2020.2127409928685	0.010994884838737562	4.0	0.0005150656708730364	0.0019646365422396855
NODE_0003067	Argentina/C3013/2020	Netherlands	Argentina	2020.2254098360656	0.0	2.0	0.0002575328354365182	0.05
NODE_0002650	NODE_0001631	Israel	Hungary	2020.21570051187	0.012303604923090461	7.0	0.0009013649240278136	0.125
NODE_0003107	DRC/397/2020	Belgium	Democratic Republic of the Congo	2020.2363387978141	0.006742229984411097	2.0	0.0002575328354365182	0.07692307692307693
NODE_0003108	NODE_0003109	Belgium	Turkey	2020.2279658895409	-1.7229281866093515e-05	176.0	0.0226628895184136	0.03571428571428571
NODE_0002669	NODE_0002670	Italy	Belgium	2020.1562252183053	0.008244853307814992	28.0	0.0036054596961112542	0.013761467889908258
NODE_0002672	Belgium/DB-0323140/2020	Switzerland	Belgium	2020.2281420765028	0.0447378882531666	2.0	0.0002575328354365182	0.0045871559633027525
NODE_0002674	Switzerland/GE06207/2020	France	Switzerland	2020.181693989071	0.007622449664950182	6.0	0.0007725985063095545	0.020833333333333332
NODE_0002688	NODE_0002689	Italy	Belgium	2020.156048706856	0.008547793704337892	34.0	0.004378058202420809	0.013761467889908258
NODE_0002688	NODE_0002695	Netherlands	Germany	2020.2090163934427	0.00026175683137807937	34.0	0.004378058202420809	0.02564102564102564
NODE_0002700	NODE_0002701	Brazil	Czech Republic	2020.196076618456	0.009230612894270962	14.0	0.0018027298480556271	0.07692307692307693
NODE_0002706	NODE_0001586	France	Israel	2020.2136545720107	0.026045022375910776	4.0	0.0005150656708730364	0.022727272727272728
NODE_0002710	NODE_0002711	Netherlands	South Africa	2020.2304121846016	0.008800576371868374	4.0	0.0005150656708730364	0.25
NODE_0002709	NODE_0002712	United Kingdom	India	2020.2140456702048	0.008222733830507423	12.0	0.001545197012619109	0.011111111111111112
